Objective,LOE,IMO,Parent_OAI_ID,Sub_OAI_ID,OAI_Description,Land,Sea,Air,Cyber,Space,Decisive_Point,Decision_Point
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,"LOE1.1 - Strengthen, Reassure, Integrate Regional Partners",Restore & Protect Intelligence Sharing,1.1.1,1.1.1a,Design and establish WHEMCOM Joint Intelligence Fusion Cell (JIFC-HEM),"Design manning, SOPs, and HUMINT integration","Define maritime intel inputs, AIS feeds, and liaison roles",Define air ISR inputs (P-8/P-3/MQ-9) and ATO links,"Design secure networks, classification rules, cross-domain solutions","Plan SATCOM, space ISR feeds, and archival policies",Fusion cell framework agreed and resourced,Decision to stand up JIFC-HEM with specific partners
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,"LOE1.1 - Strengthen, Reassure, Integrate Regional Partners",Restore & Protect Intelligence Sharing,1.1.1,1.1.1b,Operate and refine JIFC-HEM for sustained intelligence fusion,Run daily land-focused fusion boards and HUMINT review,Continuously ingest maritime tracks and boarding reports,Fuse air tracks and ISR collections into shared picture,"Maintain, secure, and patch intel networks and tools",Exploit space imagery and feeds for network and OE awareness,Partners routinely sharing and receiving actionable intel,Partner begins withholding or downgrading shared intelligence
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,"LOE1.1 - Strengthen, Reassure, Integrate Regional Partners",Restore & Protect Intelligence Sharing,1.1.2,1.1.2a,Plan bilateral and multilateral intelligence workshops,Identify land intel gaps and priority partners,Select maritime focus areas and partner navies/coast guards,Identify airspace and air ISR coordination requirements,Define cyber intel exchange mechanisms and formats,Identify space-derived products to include in workshops,Workshop objectives and agenda aligned across participants,"Leadership approval for agenda, locations, and participation"
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,"LOE1.1 - Strengthen, Reassure, Integrate Regional Partners",Restore & Protect Intelligence Sharing,1.1.2,1.1.2b,Conduct intelligence planning workshops with partners,Co-develop regional land threat picture and priorities,Co-develop maritime threat models and smuggling routes,Align air threat picture and air defense / ISR priorities,Agree on SOC-to-SOC cyber intel sharing and protocols,Train partners to interpret and use space products,Shared regional threat picture documented and adopted,Partners accept or reject shared intel constructs and priorities
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,"LOE1.1 - Strengthen, Reassure, Integrate Regional Partners",Restore & Protect Intelligence Sharing,1.1.3,1.1.3a,Design secure communication and data-sharing architecture,Map land HQs and nodes requiring secure access,"Define maritime nodes (ships, ops centers, JIATF-S) for links",Define air C2 centers and wings requiring connectivity,"Select crypto standards, identity, and access solutions",Define SATCOM requirements for all participating nodes,Technical architecture completed and validated,"Decision to fund, procure, and field chosen solution"
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,"LOE1.1 - Strengthen, Reassure, Integrate Regional Partners",Restore & Protect Intelligence Sharing,1.1.3,1.1.3b,Field and sustain secure comms and data-sharing platforms,Install kits at land HQs and fusion cells,Upgrade shipboard and maritime ops center datalinks,Integrate air ops centers into common air track picture,Operate and defend encrypted networks and services,Maintain SATCOM and space links for continuous sharing,Partners technically able to share classified intel in real time,"Network compromise, outage, or partner refusal to connect"
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,"LOE1.1 - Strengthen, Reassure, Integrate Regional Partners",Harmonize Legal & Authority Frameworks,1.1.4,1.1.4a,Plan hemispheric JAG and MoD legal conference,"Identify land, SOF, and border law issues to address",Identify maritime interdiction and hot pursuit gaps,"Identify air policing, intercept, and overflight issues","Identify cyber crime, data sharing, and evidence standards",Identify use-of-space-ISR legal concerns,Agreed agenda and topics for legal harmonization,Confirmation of attendance by key legal stakeholders
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,"LOE1.1 - Strengthen, Reassure, Integrate Regional Partners",Harmonize Legal & Authority Frameworks,1.1.4,1.1.4b,Conduct conference and document legal frameworks and gaps,Clarify ground and SOF legal boundaries and constraints,"Clarify maritime interdiction, boarding, and hot pursuit rules",Clarify air intercept and cross-border air operations rules,Summarize cyber legal regimes and evidentiary requirements,Agree on norms for using and sharing space-based ISR,Comprehensive map of partner legal authorities completed,"Partner pushback on sensitive authorities (e.g., lethal boat strikes)"
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,"LOE1.1 - Strengthen, Reassure, Integrate Regional Partners",Harmonize Legal & Authority Frameworks,1.1.5,1.1.5a,Draft standardized SOFAs and intelligence-sharing agreements,Draft SOFA language for land forces and trainers,Draft VBSS and boarding provisions for maritime operations,"Draft air basing, refuel, and transit rights agreements",Draft cross-border digital pursuit and cyber sharing clauses,Draft provisions for persistent space-based monitoring and use,Model texts complete and offered to partners,Partner willingness to negotiate and sign framework texts
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,"LOE1.1 - Strengthen, Reassure, Integrate Regional Partners",Harmonize Legal & Authority Frameworks,1.1.5,1.1.5b,Negotiate and implement SOFAs and intel-sharing agreements,Secure land SOFAs and status protections with key partners,Secure VBSS/joint interdiction agreements with navies/coast guards,Secure air basing and transit rights where needed,Implement digital evidence and cyber-sharing arrangements,Implement norms for space ISR data access and sharing,SOFAs and intel agreements in force with priority partners,"Partner revokes, limits, or refuses critical legal instruments"
