Objective_ID,Objective_Title,LOE_ID,LOE_Title,IMO_ID,IMO_Title,Parent_OAI_ID,OAI_ID,OAI_Title,OAI_Description,Land,Sea,Air,Cyber,Space,Duration_Months,Start_Date,End_Date,Decision_Point_1_Label,Decision_Point_1_Date,Decision_Point_2_Label,Decision_Point_2_Date,Decisive_Point_1_Label,Decisive_Point_1_Date,Decisive_Point_2_Label,Decisive_Point_2_Date,Branch_Notes
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.1,Restore & Protect Intelligence Sharing,1.1.1,1.1.1a,Design JIFC-HEM,Design and establish the WHEMCOM Joint Intelligence Fusion Cell (JIFC-HEM).,"Design manning, SOPs, and HUMINT integration.",Define maritime intel inputs and liaison roles.,Define air ISR inputs and ATO links.,Design secure intel networks and cross-domain solutions.,Plan space ISR feeds and archival policies.,9,2026-01-01,2026-09-30,Concept Approved,2026-04-01,,,Fusion Design Locked,2026-09-30,,,"If design is not approved on time, fusion operations (1.1.1b) slip and downstream ISR/intel-dependent OAIs are delayed."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.1,Restore & Protect Intelligence Sharing,1.1.1,1.1.1b,Operate JIFC-HEM,Operate and refine JIFC-HEM for sustained multinational intelligence fusion.,Run daily land-focused fusion boards and HUMINT review.,Continuously ingest maritime tracks and boarding reports.,Fuse air tracks and ISR into the shared picture.,Maintain and secure intel networks and tools.,Exploit space imagery and feeds for regional awareness.,51,2026-10-01,2030-12-31,Initial Manning & Feed Check,2027-06-30,Multinational Participation Review,2028-06-30,Fusion Cell Fully Operational,2028-12-31,JIFC Drives Targeting & Decisions,2030-06-30,"If key partners do not fill seats or share data (DP2), branch to a reduced-national fusion model and heavier reliance on unilateral ISR."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.2,Restore & Protect Intelligence Sharing,1.1.2,1.1.2a,Plan Intel Workshops,Plan bilateral and multilateral intelligence planning workshops.,Identify land intel gaps and priority partners.,Select maritime focus areas and partner navies/coast guards.,Identify airspace and ISR coordination requirements.,Define cyber intel exchange mechanisms.,Identify space-derived products for sharing.,9,2026-01-01,2026-09-30,Workshop Scope Approved,2026-03-31,,,Partner Set Locked for Initial Round,2026-09-30,,,"If partners decline participation, scale to smaller group and adjust expectations for shared threat picture under 1.1.2b."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.2,Restore & Protect Intelligence Sharing,1.1.2,1.1.2b,Conduct Intel Workshops,Conduct intel planning workshops to build a shared regional threat picture.,Co-develop regional land threat picture and priorities.,Co-develop maritime threat models and smuggling routes.,Align air threat picture and air defense/ISR priorities.,Agree cyber intel sharing protocols and formats.,Train partners on space products and interpretation.,51,2026-10-01,2030-12-31,First Workshop Outcomes Review,2027-06-30,,,Shared Threat Picture Adopted by Core Partners,2028-12-31,,,"If workshops reveal deep political/legal divergence, branch to tiered intel-sharing model (inner circle vs outer circle)."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.3,Restore & Protect Intelligence Sharing,1.1.3,1.1.3a,Design Secure Comms Architecture,Design secure communication and data-sharing architecture for partners.,Map land HQs and intel nodes needing secure access.,"Define maritime nodes (ships, ops centers, JIATF-S) to connect.",Define air C2 centers and ISR nodes needing connectivity.,"Select crypto standards, identity, and access solutions.",Define SATCOM and space ISR bandwidth needs.,9,2026-01-01,2026-09-30,Architecture Concept Approved,2026-04-30,,,Technical Design Frozen,2026-09-30,,,"If architecture is judged too complex/expensive, branch to phased rollout or reduced partner set for 1.1.3b."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.3,Restore & Protect Intelligence Sharing,1.1.3,1.1.3b,Field Secure Comms & Data-Sharing,Field and sustain secure comms and data-sharing platforms among partners.,Install secure nodes at land HQs and fusion centers.,Upgrade shipboard/naval ops center datalinks.,Integrate air ops centers into common track picture.,Operate and defend encrypted networks and services.,Maintain SATCOM and space links for continuous sharing.,51,2026-10-01,2030-12-31,Initial Rollout Performance Check,2027-06-30,Partner Uptake & Coverage Review,2028-06-30,Core Partner Network Online,2028-12-31,Network Becomes Critical Backbone,2030-06-30,"If key partners refuse deployment or restrict use, branch to mixed-secure/legacy comms model and accept slower intel sharing."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.4,Harmonize Legal & Authority Frameworks,1.1.4,1.1.4a,Plan Legal Conference,Plan hemispheric JAG and MoD legal conference.,"Identify land, SOF, and border law issues.",Identify maritime interdiction and hot pursuit gaps.,"Identify air policing, intercept, and overflight issues.","Identify cyber crime, data sharing, and evidence standards.",Identify legal use of space ISR and imagery.,9,2026-01-01,2026-09-30,Agenda & Themes Drafted,2026-03-31,,,Key Participants Confirmed,2026-07-31,,,"If major partners decline attendance, branch to sub-regional or bilateral legal engagements instead of a single hemispheric event."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.4,Harmonize Legal & Authority Frameworks,1.1.4,1.1.4b,Conduct Legal Conference,Conduct conference and document legal frameworks and gaps.,Clarify land and SOF legal boundaries and constraints.,Clarify maritime interdiction and hot pursuit rules.,Clarify air intercept and cross-border air operations.,Summarize cyber legal regimes and evidentiary requirements.,Agree norms for sharing space-based ISR.,51,2026-10-01,2030-12-31,Initial Legal Findings Review,2027-06-30,,,Regional Legal Picture Understood,2027-12-31,,,"If consensus is not reached on authorities (esp. lethal maritime), branch to differentiated legal tracks and limit ambitions in 1.1.5b."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.5,Harmonize Legal & Authority Frameworks,1.1.5,1.1.5a,Draft SOFAs & Intel Agreements,Draft standardized SOFAs and intel-sharing agreements.,Draft SOFA language for land forces and trainers.,Draft VBSS and boarding provisions for maritime ops.,"Draft air basing, refuel, and transit rights clauses.",Draft cross-border digital pursuit and cyber clauses.,Draft provisions for space-based monitoring and sharing.,9,2026-01-01,2026-09-30,Model Texts Complete,2026-04-30,Priority Partners Mapped to Texts,2026-08-31,Negotiation Packages Ready,2026-09-30,,,"If drafts are politically unacceptable to multiple partners, branch to modular templates (core + optional clauses)."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.5,Harmonize Legal & Authority Frameworks,1.1.5,1.1.5b,Negotiate & Implement SOFAs/Intel Agreements,Negotiate and implement SOFAs and intel-sharing agreements with key regional partners.,Secure land SOFAs and status protections with key partners.,Secure VBSS/joint interdiction agreements with navies/coast guards.,Secure air basing and transit rights agreements.,Implement digital evidence and cyber-sharing arrangements.,Implement norms for space ISR data access and sharing.,51,2026-10-01,2030-12-31,Legal Redlines Identified,2027-03-31,Partner Set Locked,2027-12-31,Core SOFAs In Force,2028-06-30,Venezuela-Adaptive Framework Tested,2029-12-31,"If partners reject lethal or regime-change-adjacent provisions at DP1/DP2, branch to a more limited authorities architecture and adjust operational ambition in OBJ 2 and 3."
